mesh,audio,strategy,beta0,beta1,chi,A_ratio,S
cube,A1,energy,56,38,18,0.0238037109375,0.3333333333333333
cube,A2,direct,59,37,22,0.023295084635416668,0.33333333333584786
cube,A2,mel,60,25,35,0.023417154947916668,0.33333333335552773
cube,A2,energy,57,29,28,0.024027506510416668,0.3333333333333333
cube,A3,direct,124,43,81,0.033467610677083336,0.5219125915580626
cube,A3,mel,130,19,111,0.036966959635416664,0.7597610357996385
cube,A3,energy,111,48,63,0.036824544270833336,0.8758000937071828
cube,A4,direct,265,38,227,0.0545654296875,0.44135305745547915
cube,A4,mel,243,22,221,0.05108642578125,0.48220620380917634
cube,A4,energy,231,35,196,0.047261555989583336,0.4569997052486356
cube,A5,direct,205,101,104,0.043965657552083336,0.5090379003527522
cube,A5,mel,210,51,159,0.047444661458333336,0.5081180656771856
cube,A5,energy,235,38,197,0.051106770833333336,0.5282073262192654
cube,A6,direct,84,113,-29,0.036844889322916664,0.40243432364001525
cube,A6,mel,87,117,-30,0.03363037109375,0.389563297319143
cube,A6,energy,28,94,-66,0.024698893229166668,0.3381270638216926
cube,A7,direct,52,51,1,0.023050944010416668,0.33372018400177605
cube,A7,mel,54,43,11,0.023295084635416668,0.3334620326880405
cube,A7,energy,60,35,25,0.023213704427083332,0.33333334297381617
tetrahedron,A1,direct,31,0,31,0.029174804687499976,0.3333333333374476
tetrahedron,A1,mel,35,11,24,0.032165527343750104,0.3333333333637283
tetrahedron,A1,energy,36,5,31,0.03143310546875007,0.3333333333333333
tetrahedron,A2,direct,18,0,18,0.022216796874999906,0.33333333333584964
tetrahedron,A2,mel,40,0,40,0.027099609374999892,0.33333333335553617
tetrahedron,A2,energy,37,2,35,0.030029296875000007,0.3333333333333333
tetrahedron,A3,direct,67,25,42,0.05596923828125113,0.52158802469875
tetrahedron,A3,mel,77,0,77,0.03649902343750029,0.7602920016916926
tetrahedron,A3,energy,75,4,71,0.04016113281250044,0.8756099107222752
tetrahedron,A4,direct,107,17,90,0.05792236328125123,0.45745092222275946
tetrahedron,A4,mel,119,0,119,0.05432128906250106,0.364352856089092
tetrahedron,A4,energy,81,5,76,0.04376220703125062,0.3361473732804587
tetrahedron,A5,direct,118,6,112,0.056518554687501145,0.5050636631060462
tetrahedron,A5,mel,103,7,96,0.05096435546875092,0.5001467365707318
tetrahedron,A5,energy,120,14,106,0.06579589843750157,0.5032776805385044
tetrahedron,A6,direct,79,2,77,0.04687500000000074,0.40534327753576144
tetrahedron,A6,mel,62,7,55,0.04669189453125074,0.38287928743940114
tetrahedron,A6,energy,33,76,-43,0.040893554687500486,0.33685138324446834
tetrahedron,A7,direct,25,0,25,0.02136230468749991,0.3336841551123046
tetrahedron,A7,mel,27,0,27,0.021606445312499917,0.3334522437459994
tetrahedron,A7,energy,19,0,19,0.021606445312499913,0.3333333421217785
octahedron,A1,direct,24,0,24,0.015380859374999898,0.3333333339284253
octahedron,A1,mel,58,0,58,0.023315429687499722,0.3333333511634889
octahedron,A1,energy,52,0,52,0.02343749999999972,0.3333333333333335
octahedron,A2,direct,74,28,46,0.026489257812499653,0.3333333334725979
octahedron,A2,mel,50,0,50,0.024536132812499695,0.3333333368975513
octahedron,A2,energy,50,0,50,0.023803710937499712,0.3333333333333333
octahedron,A3,direct,78,6,72,0.03814697265624967,0.6475293875181259
octahedron,A3,mel,112,24,88,0.04272460937500017,0.33743876902634806
octahedron,A3,energy,109,55,54,0.04147338867187503,0.333374127865723
octahedron,A4,direct,170,58,112,0.057312011718751756,0.6761719080718908
octahedron,A4,mel,177,11,166,0.05343627929687633,0.45062568585999047
octahedron,A4,energy,195,0,195,0.04754638671875069,0.46200272218564825
octahedron,A5,direct,164,18,146,0.04937744140625089,0.4816313622161234
octahedron,A5,mel,150,45,105,0.0522155761718762,0.5004513963963794
octahedron,A5,energy,193,57,136,0.06704711914062782,0.5044548864354205
octahedron,A6,direct,87,56,31,0.04180908203125006,0.4079147942972232
octahedron,A6,mel,94,139,-45,0.048126220703125756,0.4067512424846694
octahedron,A6,energy,47,33,14,0.025421142578124677,0.3439006715912502
